__time,/predictor/armor_predictions/header/stamp/nanosec,/predictor/armor_predictions/header/stamp/sec,/predictor/armor_predictions/predictions[0]/armor_id,/predictor/armor_predictions/predictions[0]/distance,/predictor/armor_predictions/predictions[0]/pitch,/predictor/armor_predictions/predictions[0]/position/x,/predictor/armor_predictions/predictions[0]/position/y,/predictor/armor_predictions/predictions[0]/position/z,/predictor/armor_predictions/predictions[0]/velocity/x,/predictor/armor_predictions/predictions[0]/velocity/y,/predictor/armor_predictions/predictions[0]/velocity/z,/predictor/armor_predictions/predictions[0]/yaw
1751346442.620806,620503896.000000000,1751346442.000000000,4.000000000,0.246934371,-0.097195155,0.245408815,-0.013299222,-0.023963053,-0.001608483,-0.002464068,0.000800096,-0.054139153
1751346442.670965,670547325.000000000,1751346442.000000000,4.000000000,0.246991015,-0.096906362,0.245462498,-0.013477030,-0.023897557,-0.001546320,-0.002518175,0.000833762,-0.054849570
1751346442.720823,720506202.000000000,1751346442.000000000,4.000000000,0.247102640,-0.096613313,0.245571967,-0.013636550,-0.023836283,-0.001463970,-0.002563121,0.000868706,-0.055472781
1751346442.770783,770505897.000000000,1751346442.000000000,4.000000000,0.247251673,-0.096311252,0.245719333,-0.013787159,-0.023776321,-0.001364563,-0.002588386,0.000900801,-0.056050607
1751346442.820776,820503304.000000000,1751346442.000000000,4.000000000,0.247337336,-0.096027017,0.245803584,-0.013927474,-0.023714581,-0.001291185,-0.002581027,0.000922941,-0.056600469
1751346442.870835,870661495.000000000,1751346442.000000000,4.000000000,0.247233723,-0.096151118,0.245691397,-0.014031811,-0.023735187,-0.001312248,-0.002537210,0.000846831,-0.057049555
1751346442.921024,920518686.000000000,1751346442.000000000,4.000000000,0.247247374,-0.095956819,0.245705317,-0.014107016,-0.023688679,-0.001277105,-0.002493031,0.000860927,-0.057351408
1751346442.970907,970512214.000000000,1751346442.000000000,4.000000000,0.247312636,-0.095767965,0.245769352,-0.014202711,-0.023648441,-0.001216462,-0.002452058,0.000864907,-0.057724577
1751346443.020894,20520111.000000000,1751346443.000000000,4.000000000,0.247456579,-0.095577923,0.245913519,-0.014269305,-0.023615393,-0.001118738,-0.002372131,0.000864044,-0.057960712
1751346443.070781,70503972.000000000,1751346443.000000000,4.000000000,0.247559885,-0.095419454,0.246016626,-0.014332060,-0.023586199,-0.001043225,-0.002298294,0.000857744,-0.058190699
1751346443.120911,120490436.000000000,1751346443.000000000,4.000000000,0.247663075,-0.095279252,0.246119952,-0.014381412,-0.023561466,-0.000969450,-0.002215209,0.000847478,-0.058366164
1751346443.170946,170508764.000000000,1751346443.000000000,4.000000000,0.247764765,-0.095153768,0.246221992,-0.014421122,-0.023540190,-0.000897910,-0.002126192,0.000833855,-0.058502760
1751346443.220683,220458745.000000000,1751346443.000000000,4.000000000,0.247843434,-0.095084427,0.246301210,-0.014435895,-0.023530557,-0.000845562,-0.002055014,0.000820707,-0.058543761
1751346443.271073,270569401.000000000,1751346443.000000000,4.000000000,0.247785412,-0.094972435,0.246244590,-0.014459717,-0.023497423,-0.000844927,-0.001938273,0.000802966,-0.058653598
1751346443.320855,320516577.000000000,1751346443.000000000,4.000000000,0.247682768,-0.094893310,0.246144174,-0.014458335,-0.023468180,-0.000865331,-0.001810292,0.000782504,-0.058671878
1751346443.370855,370674919.000000000,1751346443.000000000,4.000000000,0.247572628,-0.094854579,0.246037380,-0.014422060,-0.023448198,-0.000888642,-0.001657665,0.000755569,-0.058550356
